,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
EROSMEDIA,33.55,26.48,151.32,1524.78,29.25,0.0,1434.71,-280.79,896.29,0.0,242.42,1434.71,92.5,0.0,684.19,93.58,893.01,36.67,965.81,55.43,91.97,142.15,864.71,90.02,0.0,936.95,609.66,776.11,20.43,73.64,19.42,408.97,241.31,690.35,778.14,670.06,1095.39,407.93,163.95,22.24,122.02,3.07,1160.22,801.04,1276.62,439.99,317.97,6.09,0.46,20.61,461.78,1029.45,-228.57,170.44,468.45,91.92,1160.22,0.0,689.76,172.75,-590.99,112.14,192.62,374.82,149.17,989.7,932.26,1914.87,474.59,316.39,141.19,1276.62,13.63,1914.87,68.03,1.31,151.45,631.9,1107.31,0.0,1200.33,26.31,20.29,217.23,1.04,1350.41,38.54,125.27,1.22,953.03,689.76,937.49,400.95,10.19,294.09,714.11,564.46,265.05,93.85,0.0,1188.97,374.47,229.58,304.34,1524.78,927.3,1256.56,31.58,20.42,740.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESABINDIA,12.36,,,315.54,50.68,0.0,289.05,112.46,192.36,,,289.05,15.39,,,15.39,,111.43,70.03,119.77,,47.25,83.04,,0.0,273.66,,,121.89,,0.0,198.34,0.0,79.64,1.24,67.16,300.15,,0.0,,,58.46,,,,,,,62.83,,162.52,289.05,82.88,,,,,0.0,74.98,,112.5,,29.93,182.53,,189.45,57.67,342.55,,0.0,,,,342.55,146.85,41.43,,,5.25,10.9,7.23,,12.48,27.95,53.96,342.55,34.93,45.44,,78.02,85.88,87.98,,11.97,,,0.0,46.83,15.39,0.0,315.54,,43.7,,315.54,76.01,327.16,109.32,,,11.11,268.53,72.9,0.0,102.56,378.26,124.57,91.0,0.0,0.0,22.88,7.59,58.98,79.68,378.26,63.92,362.87,15.39,72.73,378.26,102.11,166.42,,,,,,,25.14,,251.88,27.38,,,,,,,,,,,,,32.62,,95.94,,61.39,,,63.52,,,,104.76,,,,,,93.05,,,,,,,,15.39,267.27,,,,,,3.05,,,,,267.27,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,83.01,,69.03,,,,,,0.0,146.53,0.0,,,,,,267.27,13.98,,,,188.99,,
ESCORTS,188.8,200.12,,2174.05,242.48,0.0,2204.71,6.51,2384.72,0.0,345.31,2204.71,119.29,,,119.39,1831.38,847.14,1162.28,389.99,119.27,197.33,1546.79,,0.0,1640.84,,,383.45,120.23,0.0,1313.23,408.27,1182.38,55.46,980.93,1716.73,,0.14,,,390.01,,1675.94,2181.78,,,,429.48,,1365.22,1796.3,182.84,,37.36,,,0.0,1155.9,352.41,153.32,,315.83,1315.6,367.0,2419.69,973.48,2206.43,1431.15,301.76,5.09,2181.78,,2206.43,587.46,228.4,160.77,,58.19,150.82,58.08,757.04,201.45,259.04,415.92,1991.16,236.41,424.07,550.97,1572.55,1306.72,2380.28,1310.92,825.9,,1606.52,215.27,458.02,122.58,0.0,1872.29,1110.8,397.06,,2210.22,1554.38,1868.58,801.76,381.5,2399.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSARSHPNG,27.27,6.83,61.14,7553.59,22.64,0.0,6559.12,-2478.14,2368.06,0.0,1598.39,6559.12,205.23,0.0,4943.01,206.98,4889.23,901.02,1710.76,7187.51,205.23,433.11,1500.43,1866.71,0.0,4600.01,1745.58,5148.24,6360.86,352.91,2020.45,750.27,884.0,2439.55,0.0,2421.15,4416.92,0.0,869.88,641.68,275.36,17.42,8469.63,4684.0,8322.54,887.16,611.8,37.31,12.49,6448.69,1137.38,4805.24,-1302.17,15.93,0.0,205.23,8469.63,0.0,3228.41,53.66,-921.71,772.78,1029.9,789.05,968.32,2188.81,1683.49,3106.44,1078.44,909.24,1834.92,8322.54,8.55,3106.44,4408.68,28.77,33.74,2387.26,0.0,0.0,0.0,723.41,18.4,703.4,14.18,1760.1,24.4,45.59,22.72,1287.79,3228.41,1433.73,725.53,257.83,1454.68,1606.15,485.42,275.9,206.98,860.92,4623.9,718.7,68.9,603.25,7553.59,1175.9,1553.12,867.63,6363.48,2329.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSDEE,42.76,68.65,499.46,1306.73,7.02,0.0,1260.9,173.85,1215.28,0.0,379.03,1260.9,32.05,0.0,714.16,32.05,805.41,385.08,430.2,13.06,32.05,373.29,868.05,6.0,0.0,792.32,511.35,755.18,13.06,328.71,71.56,385.2,408.27,425.41,106.45,347.8,722.34,117.28,19.28,250.05,396.29,67.34,1046.96,764.38,1191.43,723.73,327.43,91.19,11.14,13.06,689.77,833.35,264.36,11.22,187.82,32.05,1046.96,0.0,168.19,475.67,344.74,121.85,137.18,774.94,120.6,1215.4,387.44,1004.45,696.81,471.81,7.0,1191.43,81.67,1004.45,13.46,0.77,11.21,770.38,118.6,43.15,28.61,290.73,77.61,175.5,71.27,181.89,6.92,525.08,89.33,821.35,211.35,1206.92,368.1,418.39,285.78,652.88,806.0,0.0,32.05,16.56,763.36,299.46,474.4,245.77,1306.73,779.55,140.87,338.25,13.06,952.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSELPACK,60.69,32.29,,728.56,2.99,0.0,795.78,190.67,848.87,0.0,255.46,795.78,31.42,,,31.42,732.5,574.02,187.14,216.92,31.41,185.73,321.8,,0.0,447.11,,,290.79,143.22,45.45,357.4,269.81,200.14,7.27,159.01,521.14,,46.12,,,65.33,,699.71,1027.67,,,,66.73,,374.73,479.85,174.6,,8.71,,,0.0,144.46,89.94,173.46,,196.59,360.6,212.14,894.9,126.44,790.49,380.36,129.23,39.72,1027.67,,790.49,220.6,1.18,5.5,,17.29,22.27,23.21,481.84,41.13,191.84,67.32,622.09,1.49,100.45,72.78,320.88,166.73,462.15,237.14,106.14,,304.42,137.48,103.76,31.43,30.92,553.88,204.85,109.33,,729.89,356.01,590.66,525.75,569.96,787.63,23.16,400.05,179.71,0.0,516.89,654.71,218.94,182.71,60.27,69.34,172.53,26.84,129.13,344.36,784.32,8.16,623.26,31.45,83.05,784.32,205.87,194.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTER,9.32,11.67,109.02,572.12,7.8,0.0,605.32,160.14,785.63,0.0,332.09,605.32,36.56,0.0,221.83,41.7,263.92,415.44,117.01,0.41,31.45,28.77,394.28,0.0,0.0,231.34,370.17,258.62,0.02,187.81,0.0,269.01,332.36,109.66,12.09,101.69,246.63,5.11,0.0,326.92,186.89,128.37,567.53,227.27,596.0,272.41,85.52,122.7,117.4,0.02,303.55,272.95,193.89,14.26,18.08,31.45,567.53,0.0,99.09,124.24,163.24,26.43,35.06,280.25,34.29,800.44,107.7,544.85,290.89,278.89,0.0,596.0,6.63,544.85,0.2,6.57,8.24,702.43,23.48,9.79,1.74,355.35,7.97,31.88,127.67,277.38,22.9,112.2,124.11,380.09,108.88,757.21,103.07,374.43,308.91,384.8,267.47,116.27,41.7,0.0,293.23,91.4,117.92,78.89,572.12,382.78,235.69,386.31,0.12,745.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROCERA,0.79,0.51,20.39,-127.25,5.6,0.0,-114.27,-202.36,593.23,0.0,33.16,-114.27,33.74,0.0,-45.89,33.74,-39.69,306.7,526.88,1.34,33.74,59.02,313.41,61.02,0.0,-194.81,426.69,-17.31,1.34,-396.11,46.1,111.88,0.0,534.72,0.0,533.97,-207.09,4.97,46.8,162.22,38.57,31.93,473.01,-73.43,8.26,156.62,118.05,40.06,32.35,2.78,105.69,-161.07,-429.03,3.04,0.0,28.58,473.01,0.0,313.73,14.78,-415.06,93.13,57.34,111.82,91.6,593.17,526.09,-8.36,141.26,0.0,14.79,8.26,2.05,-8.36,1.34,1.41,2.82,588.91,0.0,0.51,0.0,191.67,0.75,55.88,32.09,-49.83,3.15,18.4,32.06,286.47,314.23,475.01,537.37,282.36,429.3,401.59,0.0,19.1,33.74,41.46,-173.35,536.86,13.11,116.0,-127.25,192.65,-83.56,279.82,2.78,593.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROMULTI,0.86,1.14,3.96,-187.02,2.68,0.0,-125.1,-318.76,286.9,0.0,64.91,-125.1,23.8,0.0,-77.99,23.8,-74.35,155.67,338.51,0.01,23.8,7.91,145.19,24.67,0.0,-231.46,178.27,-54.19,0.01,-148.84,16.99,22.95,64.91,292.01,0.0,290.83,-292.71,0.0,17.66,108.36,-142.89,4.26,35.39,-98.15,10.36,23.01,165.9,7.73,6.1,0.01,21.71,-207.66,-270.3,2.48,0.0,23.8,35.39,0.0,340.76,1.78,-318.13,8.84,7.18,20.38,6.36,286.78,337.65,-201.36,15.93,64.91,19.8,10.36,1.27,-201.36,0.01,2.92,2.59,286.63,0.0,0.95,0.0,127.27,1.18,7.27,5.37,-280.73,2.4,6.16,5.2,131.1,341.71,287.09,164.77,169.69,64.91,159.19,64.91,6.01,23.8,14.46,-268.91,163.62,6.76,164.63,-187.02,117.4,-304.53,141.71,0.01,286.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROTEXIND,2.55,6.3,15.83,96.49,1.0,0.0,116.05,24.07,226.34,0.0,56.88,116.05,8.74,0.0,54.78,8.74,69.31,157.72,43.44,3.18,8.74,12.66,72.34,0.03,0.0,54.93,77.61,64.32,3.18,45.57,0.03,88.3,51.63,50.72,0.05,48.94,49.55,0.01,0.03,141.12,54.25,43.54,135.85,59.85,126.22,110.57,56.33,76.29,61.86,3.18,90.46,64.39,39.74,1.8,1.66,8.74,135.85,0.0,61.74,15.66,23.97,16.66,16.38,67.41,21.38,227.01,40.89,93.43,112.14,37.45,0.03,126.22,2.6,92.71,3.18,0.83,0.81,219.53,0.05,2.49,0.05,148.05,1.78,13.79,61.01,51.96,1.37,9.08,74.3,68.57,64.23,227.31,66.57,161.91,71.5,75.08,38.72,12.95,13.74,2.03,59.01,60.27,11.71,53.72,96.49,65.4,37.5,153.27,3.18,223.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEREADY,25.11,21.93,,798.39,2.69,0.0,798.27,113.56,1119.32,0.0,109.14,798.27,36.34,,,36.34,593.57,432.84,325.51,2.66,36.34,91.18,696.36,,0.0,588.44,,,2.66,34.33,14.21,462.44,96.74,295.69,27.79,278.18,623.31,,76.75,,,237.41,,557.23,780.41,,,,284.3,,367.15,624.78,71.46,,14.39,,,0.0,328.84,48.97,78.85,,56.01,404.37,55.99,1127.65,300.4,456.78,362.71,124.52,77.7,780.41,,456.78,2.66,3.1,0.81,,22.07,20.04,6.46,398.57,17.5,93.72,259.55,289.53,2.67,70.54,256.94,694.81,348.88,360.72,328.38,26.62,,730.3,141.91,83.87,36.34,25.34,659.66,306.45,48.92,,798.39,334.1,253.18,422.96,1.4,1128.87,20.21,668.52,243.73,0.0,402.37,344.27,2.66,478.14,4.85,183.99,44.99,2.89,120.61,357.38,533.11,4.08,307.92,36.34,300.11,533.11,498.34,170.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERESTIND,34.75,35.78,,578.18,52.11,0.0,600.2,161.11,527.84,0.0,216.88,600.2,15.29,,,15.39,294.53,225.2,356.04,27.87,15.19,124.44,320.87,,0.0,304.42,,,7.74,167.99,0.0,482.07,280.49,349.83,30.34,296.9,332.06,,0.0,,,252.53,,279.33,511.41,,,,236.93,,591.08,319.71,241.25,,61.05,,,0.0,315.56,80.71,198.79,,151.29,554.83,136.17,574.89,321.29,530.38,484.11,230.74,0.0,511.41,,530.38,27.87,15.81,25.14,,1.82,5.39,4.7,186.71,52.94,137.08,271.85,350.33,63.63,113.11,242.09,349.7,320.96,584.5,316.12,247.8,,281.74,180.05,104.89,15.42,0.0,347.44,280.34,104.31,,578.18,336.7,334.91,206.97,0.63,468.45,18.31,429.13,95.85,0.0,386.13,396.97,0.42,298.46,0.0,76.92,45.56,20.54,66.05,340.56,473.89,19.69,381.34,15.63,247.54,473.89,316.77,112.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL,31.33,37.16,,395.83,7.26,0.0,402.42,235.37,266.29,0.0,32.08,402.42,5.5,,,5.5,289.47,124.67,246.02,11.14,5.5,64.48,153.37,,0.0,330.88,,,9.27,174.01,0.0,528.99,52.45,242.59,7.45,206.8,373.96,,13.59,,,213.91,,283.97,321.55,,,,237.41,,474.93,336.38,232.34,,5.92,,,0.0,279.08,148.58,206.55,,66.77,452.57,78.06,295.34,214.7,435.25,480.18,16.36,0.0,321.55,,435.25,1.36,11.44,11.04,,7.47,14.54,10.96,101.91,35.79,68.14,208.37,435.25,18.54,163.26,242.51,170.67,293.62,202.42,306.17,14.86,,136.36,0.0,215.67,5.5,0.0,379.46,269.01,181.25,,395.83,187.56,429.75,112.93,5.25,238.28,12.17,702.5,107.17,0.0,223.12,520.03,1.62,369.86,0.0,10.15,21.28,6.25,247.61,201.84,530.17,8.77,514.53,5.5,338.94,530.17,382.03,320.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCELCROP,31.33,37.16,,395.83,7.26,0.0,402.42,235.37,266.29,0.0,32.08,402.42,5.5,,,5.5,289.47,124.67,246.02,11.14,5.5,64.48,153.37,,0.0,330.88,,,9.27,174.01,0.0,528.99,52.45,242.59,7.45,206.8,373.96,,13.59,,,213.91,,283.97,321.55,,,,237.41,,474.93,336.38,232.34,,5.92,,,0.0,279.08,148.58,206.55,,66.77,452.57,78.06,295.34,214.7,435.25,480.18,16.36,0.0,321.55,,435.25,1.36,11.44,11.04,,7.47,14.54,10.96,101.91,35.79,68.14,208.37,435.25,18.54,163.26,242.51,170.67,293.62,202.42,306.17,14.86,,136.36,0.0,215.67,5.5,0.0,379.46,269.01,181.25,,395.83,187.56,429.75,112.93,5.25,238.28,12.17,702.5,107.17,0.0,223.12,520.03,1.62,369.86,0.0,10.15,21.28,6.25,247.61,201.84,530.17,8.77,514.53,5.5,338.94,530.17,382.03,320.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCELINDUS,23.93,21.29,88.86,284.79,4.01,0.0,262.32,99.73,262.89,0.0,59.72,262.32,7.68,0.0,128.5,6.45,150.1,110.12,132.93,14.03,8.9,40.0,157.49,20.01,0.0,175.82,120.86,133.95,14.03,82.13,34.54,219.47,57.22,122.03,2.58,96.78,200.61,4.77,21.6,126.14,63.06,62.89,202.82,141.19,244.72,160.99,97.93,42.71,55.11,14.13,210.24,183.5,88.21,5.84,20.09,5.45,202.82,0.0,101.11,101.6,104.01,23.58,35.94,236.93,28.86,273.68,109.0,301.82,187.44,43.19,34.91,244.72,19.36,301.82,10.37,4.02,8.84,247.0,3.19,18.63,8.48,132.37,25.25,43.14,66.52,242.24,2.14,126.89,48.14,163.56,119.74,300.17,105.31,116.93,48.86,128.37,46.92,120.34,6.29,12.66,207.06,84.02,105.65,78.57,284.79,183.24,235.96,105.39,14.13,260.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXIDEIND,234.18,212.85,,4613.94,73.83,0.0,4072.13,772.52,2208.52,0.0,0.0,4072.13,85.0,,,85.0,3731.46,149.53,1524.46,2697.84,85.0,245.71,1067.57,,0.0,3946.99,,,1895.67,715.45,70.72,2414.3,9.21,1330.49,100.17,1051.67,4426.43,,8.34,,,1133.51,,3622.74,3731.46,,,,1527.37,,2316.62,4054.58,986.13,,50.98,,,0.0,1377.11,516.64,464.88,,209.01,1989.34,118.45,1414.94,1290.28,5133.82,1940.61,31.79,0.0,3731.46,,5133.82,2673.94,19.57,119.95,,185.81,264.67,141.36,1005.73,278.82,178.06,1522.76,4963.59,29.82,603.94,1185.57,1265.41,1641.78,1889.41,1225.16,343.41,,974.3,84.77,621.65,85.0,85.46,4511.43,1012.31,555.03,,4613.94,1546.0,4878.59,1118.36,1967.01,2003.75,279.31,3236.05,445.32,0.0,2533.93,5389.31,1969.0,1728.26,0.0,0.0,575.6,233.5,943.39,1958.33,5389.31,87.19,5304.31,85.0,1760.15,5389.31,2007.57,1228.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACT,172.09,251.79,8.26,501.7,57.57,0.0,96.38,624.31,1458.04,0.0,828.13,96.38,647.07,0.0,-838.82,647.07,-456.74,1191.07,1129.8,3.67,647.07,747.01,281.8,218.03,0.0,-1503.74,243.36,-191.75,3.67,239.9,0.0,1253.14,953.05,1534.6,24.86,1276.5,-1955.96,53.13,0.0,1130.88,417.06,388.62,734.9,-1103.81,561.15,1381.66,964.6,674.45,445.57,21.36,1320.65,-856.67,-213.95,32.37,23.83,647.07,734.9,0.0,480.37,11.47,206.44,666.58,670.72,1336.25,851.03,1460.8,957.71,906.44,1560.77,1810.59,189.76,561.15,244.16,906.44,3.67,52.3,77.38,1374.24,21.86,148.46,24.68,1174.05,258.09,882.95,551.33,-1495.87,88.39,7.1,620.88,269.73,628.84,1461.68,1320.87,1207.9,708.62,276.06,2402.3,8.27,647.07,0.0,-1308.89,1069.08,10.21,720.43,501.7,253.78,-2142.94,1176.23,21.36,1450.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
